question,option_a,option_b,option_c,option_d,correct
What is the main purpose of Integrated Risk Management (IRM)?,To eliminate all risk,To identify and manage risks across the organisation,To increase profits only,To reduce staff numbers,2
Which of the following is a key component of IRM?,Risk identification,Ignoring minor risks,Blaming employees,Random decision-making,1
What is a risk register used for?,Recording company profits,Tracking identified risks and controls,Storing employee records,Managing customer complaints,2
Which role is typically responsible for overseeing risk management policies?,Chief Risk Officer,Marketing Manager,Receptionist,Sales Assistant,1
What does risk appetite refer to?,The amount of food at meetings,The level of risk an organisation is willing to accept,The number of risks identified,The cost of insurance,2
Which document outlines how risks should be managed?,Risk management policy,Employee holiday schedule,Sales brochure,Product catalogue,1
What is the purpose of internal controls?,To increase risk,To prevent or reduce risk impact,To remove all employees,To avoid documentation,2
Why is ethical practice important in IRM?,To avoid legal and reputational damage,To increase risk exposure,To reduce transparency,To ignore compliance laws,1
What is risk assessment?,A process of evaluating likelihood and impact of risks,A financial audit,Recruitment planning,Customer feedback analysis,1
Which of the following is an example of operational risk?,System failure,Stock price fluctuation,Interest rate change,Foreign exchange rate change,1
What is compliance risk?,Risk of failing to follow laws and regulations,Risk of losing customers,Risk of product delays,Risk of bad weather,1
Why should risk management be integrated across departments?,To ensure consistent and coordinated risk handling,To isolate risks,To reduce communication,To increase duplication of work,1
What is a mitigation strategy?,An action taken to reduce risk likelihood or impact,A marketing campaign,A financial investment,A training session unrelated to risk,1
Which of the following supports good governance?,Clear policies and accountability,No documentation,Verbal agreements only,Ignoring audits,1
What is the benefit of regular risk reviews?,Ensures risks are updated and managed effectively,Removes all future risks,Reduces reporting requirements,Eliminates compliance needs,1
